complaint_text,category,priority,department,type
The packaging for smartphone was damaged upon arrival.,Shipping,High,Logistics,Non-Technical
The support team was unable to resolve my issue with software license.,Customer Service,High,Customer Support,Non-Technical
My order has been 'processing' for over 6 days.,Order Processing,Medium,Operations,Non-Technical
I'm not receiving password reset emails for my account.,Account Access,High,IT,Technical
The website is very slow when download reports.,Website Issues,Low,IT,Technical
I was charged for shipping despite qualifying for free shipping.,Pricing,Medium,Sales,Non-Technical
I was charged $25.40 more than the listed price for web hosting.,Pricing,Low,Sales,Non-Technical
My account shows incorrect contact information.,Account Access,Medium,IT,Technical
The product page doesn't show accurate stock levels for web hosting.,Product Availability,Low,Inventory,Non-Technical
I was charged for shipping despite qualifying for free shipping.,Pricing,High,Sales,Non-Technical
I received the wrong item in my order #158960.,Shipping,Low,Logistics,Non-Technical
I need to modify my order #515844 but can't find an option to do so.,Order Processing,High,Operations,Non-Technical
I was overcharged for cloud storage in my recent bill.,Billing,Medium,Billing,Non-Technical
project management tool crashes when I upload files.,Software Bugs,Medium,Development,Technical
The return process for cloud storage is too complicated.,Returns,Low,Customer Support,Non-Technical
I'm unable to log in to my account.,Account Access,Low,IT,Technical
"I received a defective premium account on September 26, 2025.",Product Quality,Medium,Quality Assurance,Technical
The latest update to project management tool caused defective.,Software Bugs,High,Development,Technical
CRM system crashes when I log in.,Software Bugs,Medium,Development,Technical
The estimated restock date for cloud storage keeps getting pushed back.,Product Availability,High,Inventory,Non-Technical
software license has been out of stock for two weeks.,Product Availability,High,Inventory,Non-Technical
The order status hasn't been updated in 14 days.,Order Processing,Medium,Operations,Non-Technical
The billing statement doesn't match our agreed pricing for web hosting.,Billing,Medium,Billing,Non-Technical
The latest update to project management tool caused damaged.,Software Bugs,Medium,Development,Technical
The latest update to accounting software caused missing parts.,Software Bugs,Low,Development,Technical
The quality of smartphone does not meet the advertised specifications.,Product Quality,Medium,Quality Assurance,Technical
I'm having trouble terminating my contract for consulting.,Contract Issues,High,Legal,Non-Technical
My return request for smartphone hasn't been processed after 10 days.,Returns,Medium,Customer Support,Non-Technical
The terms of service were changed without proper notice.,Contract Issues,Medium,Legal,Non-Technical
My order was marked as delivered but I never received it.,Shipping,Medium,Logistics,Non-Technical
The reporting tool in project management tool is not working as expected.,Software Bugs,High,Development,Technical
Your website is not using HTTPS on the {page} page.,Security Concerns,High,IT Security,Technical
I was charged a restocking fee that wasn't mentioned in the return policy.,Returns,High,Customer Support,Non-Technical
The reporting tool on your website is not working properly.,Website Issues,Medium,IT,Technical
I'm not receiving password reset emails for my account.,Account Access,High,IT,Technical
The discount code SAVE47 didn't apply to my order.,Pricing,High,Sales,Non-Technical
"I received a defective cloud storage on August 30, 2025.",Product Quality,Low,Quality Assurance,Technical
cloud storage has been down for 11 hours.,Service Outage,High,IT,Technical
The terms of service were changed without proper notice.,Contract Issues,Medium,Legal,Non-Technical
There's a discrepancy in my billing for monitor.,Billing,High,Billing,Non-Technical
I received a suspicious email that appears to be from your company.,Security Concerns,High,IT Security,Technical
maintenance plan has been down for 3 hours.,Service Outage,High,IT,Technical
I received the wrong item in my order #289711.,Shipping,Low,Logistics,Non-Technical
The order status hasn't been updated in 8 days.,Order Processing,High,Operations,Non-Technical
My order #476412 is 10 days late.,Shipping,Medium,Logistics,Non-Technical
The website showed software license as in stock but my order was canceled.,Product Availability,Medium,Inventory,Non-Technical
The price charged for smartphone doesn't match the advertised price.,Pricing,Medium,Sales,Non-Technical
There's a discrepancy in our service contract regarding renewal terms.,Contract Issues,Low,Legal,Non-Technical
My order was marked as delivered but I never received it.,Shipping,Low,Logistics,Non-Technical
inventory management crashes when I download reports.,Software Bugs,Medium,Development,Technical
The reporting tool of web hosting is not responding.,Service Outage,Medium,IT,Technical
CRM system crashes when I place an order.,Software Bugs,Medium,Development,Technical
subscription service stopped working after several months of use.,Product Quality,Medium,Quality Assurance,Technical
I received the wrong item in my order #872221.,Shipping,Low,Logistics,Non-Technical
I was charged $92.48 more than the listed price for web hosting.,Pricing,Medium,Sales,Non-Technical
How is my contact information being used by your company?,Data Privacy,Medium,Compliance,Technical
I'm not receiving password reset emails for my account.,Account Access,High,IT,Technical
The website showed monitor as in stock but my order was canceled.,Product Availability,Medium,Inventory,Non-Technical
The website is very slow when download reports.,Website Issues,Medium,IT,Technical
My account was locked after 2 failed login attempts.,Account Access,High,IT,Technical
