complaint_text,category,priority,department,type
"The waiting time in the emergency room is too long.",Wait Times,High,Emergency Room,Non-Technical
"The nurse was very rude during my last visit.",Staff Behavior,Medium,Nursing,Non-Technical
"I was overcharged for my recent blood test.",Billing,High,Billing,Non-Technical
"The doctor didn't explain my condition properly.",Doctor Consultation,High,General Practice,Non-Technical
"The hospital room was not clean during my stay.",Cleanliness,Medium,Housekeeping,Non-Technical
"I couldn't get an appointment with a specialist for 3 months.",Appointment,High,Specialty Care,Non-Technical
"The receptionist shared my medical information with someone else.",Privacy,High,Reception,Non-Technical
"My insurance claim was wrongfully denied.",Insurance,High,Insurance,Non-Technical
"No one followed up after my surgery to check on my recovery.",Follow-up Care,Medium,Patient Care,Non-Technical
"The hospital entrance is not wheelchair accessible.",Accessibility,High,Facilities,Non-Technical
"The pharmacy gave me the wrong medication.",Medication,High,Pharmacy,Technical
"The MRI machine was not working during my appointment.",Equipment,High,Radiology,Technical
"The hospital food was cold and unappetizing.",Food Service,Low,Food Service,Non-Technical
"The doctor was 45 minutes late for my appointment.",Scheduling,Medium,General Practice,Non-Technical
"I can't access my test results online.",IT Issues,High,IT,Technical
"The hospital parking lot is always full.",Parking,Low,Facilities,Non-Technical
"The air conditioning in my room was not working.",Facilities,Medium,Maintenance,Technical
"The discharge instructions were not clear.",Patient Education,Medium,Nursing,Non-Technical
"I was not informed about the side effects of my medication.",Medication,High,Pharmacy,Non-Technical
"The hospital bills are not itemized.",Billing,Medium,Billing,Non-Technical
complaint_text,category,priority,department,type
I noticed a breach of my medical privacy regarding my arthritis.,Privacy,High,Reception,Non-Technical
The hospital doesn't accept my {insurance} insurance.,Insurance,High,Insurance,Non-Technical
The hospital needs better {facility} in the hallway.,Facilities,High,Maintenance,Technical
The doctor didn't explain my hypertension properly.,Doctor Consultation,Medium,General Practice,Non-Technical
No one followed up after my surgery to check on my recovery.,Follow-up Care,High,Patient Care,Non-Technical
I wasn't given enough information about my hypertension.,Patient Education,Medium,Nursing,Non-Technical
The parking fees at the hospital are too expensive.,Parking,Medium,Facilities,Non-Technical
The post-operative care instructions were not clear after my MRI scan.,Follow-up Care,Medium,Patient Care,Non-Technical
The pharmacy was out of my prescribed blood pressure medication.,Medication,Medium,Pharmacy,Technical
There was an error in my medical bill for {service}.,Billing,Low,Billing,Non-Technical
therapist at the Nursing were dismissive when I needed help.,Staff Behavior,Low,Nursing,Non-Technical
I couldn't get an appointment with a dermatologist for 3 months.,Appointment,Medium,Specialty Care,Non-Technical
