complaint_text,category,priority,department,type
"The library needs more copies of the new engineering textbook.",Library,Medium,Library,Non-Technical
"The Wi-Fi connection in the engineering building is unreliable.",IT,High,IT Department,Technical
"The water dispenser on the 4th floor is broken.",Infrastructure,Medium,Maintenance,Non-Technical
"My request for a transcript has been pending for two weeks.",Admin,High,Admin Office,Non-Technical
"The projector in lecture hall 5 is not working.",IT,Medium,IT Department,Technical
"The restrooms in the arts building are not clean.",Infrastructure,Medium,Housekeeping,Non-Technical
"I need a fee receipt for the current semester.",Admin,Low,Accounts Department,Non-Technical
"The latest version of the design software is not available in the computer lab.",IT,Medium,IT Department,Technical
"My attendance for the history class is marked incorrectly.",Academics,High,Exam Cell,Technical
"The food in the main cafeteria is often cold.",Hostel,Medium,Hostel Warden,Non-Technical
"Request for a workshop on public speaking.",Academics,Low,Academics Department,Non-Technical
"The gym equipment is outdated and needs replacement.",Infrastructure,Medium,Sports Committee,Non-Technical
"The library's subscription to a major academic journal has lapsed. ",Library,Medium,Library,Non-Technical
"benches in the library are not in good condition.",Library,Medium,Library,Non-Technical
"benches in the hostel are not in good condition.",Hostel,Medium,Hostel Warden,Non-Technical
"benches on the classroom are not in good condition.",Academics,Medium,Academics Department,Non-Technical
"benches on the hostel are not in good condition.",Hostel,Medium,Hostel Warden,Non-Technical
"benches on the classroom are not in good condition.",Academics,Medium,Academics Department,Non-Technical
"My student ID card has a spelling error.",Admin,Medium,Admin Office,Non-Technical
"The chemistry lab is missing essential safety equipment.",Academics,High,Academics Department,Non-Technical
"The fire alarm on the 3rd floor went off for no reason.",Infrastructure,High,Maintenance,Non-Technical
"I can't access the online student portal.",IT,High,IT Department,Technical
"I need a recommendation letter for a scholarship application.",Admin,Low,Admin Office,Non-Technical
"The door to my hostel room won't lock properly.",Hostel,High,Hostel Maintenance,Non-Technical
"The final exam schedule conflicts with a religious holiday.",Academics,High,Exam Cell,Non-Technical
"The campus needs more ramps for wheelchair accessibility.",Infrastructure,High,Maintenance,Non-Technical
"The online library resources are not accessible off-campus.",Library,Medium,Library,Technical
"A security guard was unhelpful when I reported a lost item.",Admin,Low,Security Office,Non-Technical
"The physics lab is short on necessary supplies.",Academics,High,Academics Department,Non-Technical
"Request to form a new debate club.",Academics,Low,Academics Department,Non-Technical
"The drinking water from the fountain has a strange taste.",Infrastructure,Medium,Maintenance,Non-Technical
